"individual_id","label","partner_id","sequence","clip_name","path"
"id0","real","","0000","id0_0000.mp4","C:\DSP\video\real\id0_0000.mp4"
"id0","real","","0002","id0_0002.mp4","C:\DSP\video\real\id0_0002.mp4"
"id0","real","","0003","id0_0003.mp4","C:\DSP\video\real\id0_0003.mp4"
"id0","real","","0004","id0_0004.mp4","C:\DSP\video\real\id0_0004.mp4"
"id0","real","","0005","id0_0005.mp4","C:\DSP\video\real\id0_0005.mp4"
"id0","spoof","id16","0000","id0_id16_0000.mp4","C:\DSP\video\spoof\id0_id16_0000.mp4"
"id0","spoof","id16","0002","id0_id16_0002.mp4","C:\DSP\video\spoof\id0_id16_0002.mp4"
"id0","spoof","id16","0003","id0_id16_0003.mp4","C:\DSP\video\spoof\id0_id16_0003.mp4"
"id0","spoof","id16","0004","id0_id16_0004.mp4","C:\DSP\video\spoof\id0_id16_0004.mp4"
"id0","spoof","id16","0005","id0_id16_0005.mp4","C:\DSP\video\spoof\id0_id16_0005.mp4"
"id10","real","","0000","id10_0000.mp4","C:\DSP\video\real\id10_0000.mp4"
"id10","spoof","id11","0002","id10_id11_0002.mp4","C:\DSP\video\spoof\id10_id11_0002.mp4"
"id11","real","","0000","id11_0000.mp4","C:\DSP\video\real\id11_0000.mp4"
"id11","spoof","id7","0000","id11_id7_0000.mp4","C:\DSP\video\spoof\id11_id7_0000.mp4"
"id12","real","","0000","id12_0000.mp4","C:\DSP\video\real\id12_0000.mp4"
"id12","spoof","id10","0001","id12_id10_0001.mp4","C:\DSP\video\spoof\id12_id10_0001.mp4"
"id16","real","","0000","id16_0000.mp4","C:\DSP\video\real\id16_0000.mp4"
"id16","spoof","id0","0000","id16_id0_0000.mp4","C:\DSP\video\spoof\id16_id0_0000.mp4"
"id17","real","","0000","id17_0000.mp4","C:\DSP\video\real\id17_0000.mp4"
"id17","spoof","id0","0000","id17_id0_0000.mp4","C:\DSP\video\spoof\id17_id0_0000.mp4"
"id21","real","","0000","id21_0000.mp4","C:\DSP\video\real\id21_0000.mp4"
"id21","spoof","id0","0000","id21_id0_0000.mp4","C:\DSP\video\spoof\id21_id0_0000.mp4"
"id24","real","","0000","id24_0000.mp4","C:\DSP\video\real\id24_0000.mp4"
"id24","spoof","id19","0000","id24_id19_0000.mp4","C:\DSP\video\spoof\id24_id19_0000.mp4"
