"individual_id","spoof_partner_id","spoof_file","path"
"id0","id16","id0_id16_0000.mp4","C:\DSP\video\spoof\id0_id16_0000.mp4"
"id0","id16","id0_id16_0002.mp4","C:\DSP\video\spoof\id0_id16_0002.mp4"
"id0","id16","id0_id16_0003.mp4","C:\DSP\video\spoof\id0_id16_0003.mp4"
"id0","id16","id0_id16_0004.mp4","C:\DSP\video\spoof\id0_id16_0004.mp4"
"id0","id16","id0_id16_0005.mp4","C:\DSP\video\spoof\id0_id16_0005.mp4"
"id10","id11","id10_id11_0002.mp4","C:\DSP\video\spoof\id10_id11_0002.mp4"
"id11","id7","id11_id7_0000.mp4","C:\DSP\video\spoof\id11_id7_0000.mp4"
"id12","id10","id12_id10_0001.mp4","C:\DSP\video\spoof\id12_id10_0001.mp4"
"id16","id0","id16_id0_0000.mp4","C:\DSP\video\spoof\id16_id0_0000.mp4"
"id17","id0","id17_id0_0000.mp4","C:\DSP\video\spoof\id17_id0_0000.mp4"
"id21","id0","id21_id0_0000.mp4","C:\DSP\video\spoof\id21_id0_0000.mp4"
"id24","id19","id24_id19_0000.mp4","C:\DSP\video\spoof\id24_id19_0000.mp4"
